text,score
hey james odd please call contact centre able assist emo_pos many thanks,3.2761041028444904
listen last night emo_pos bleed amazing track scotland,2.671055865598964
congrats emo_pos,1.1602380492773277
yeaah yippy accnt verified rqst succeed got blue tick mark fb profile emo_pos day,3.5885700102873788
one irresistible emo_pos flipkartfashionfriday,1.7900131408707167
nt like keep lovely customer waiting long hope enjoy happy friday lwwf emo_pos,3.4183094316396807
second thought enough time dd emo_pos new short entering system sheep must buying,3.4435049227451877
jgh go bayan bye,1.9694848681901516
act mischievousness calling etl layer inhouse warehousing app katamari name implies p,3.3053618062136634
followfriday top influencers community week emo_pos,2.3021999176160106
would nt love big juicy selfies emo_pos,2.440698164306
follow amp follow u back emo_pos,1.762644965227542
perfect already know waiting emo_pos,2.0687246652317817
great new opportunity junior triathletes aged gatorade series get entry emo_pos,3.119285092687316
laying greeting card range print today love job emo_pos,2.8076928275355044
friend lunch yumm emo_pos nostalgia tb ku,2.480402973446096
id conflict thanks help screenshot working,2.367204576229186
hi liv emo_pos,1.4528595356600238
hello need know something u fm twitter sure thing emo_pos dm x,3.0128432027143957
followfriday top new follower community week emo_pos,2.514656936109152
heard four season pretty dope penthouse obvs gobigorgohome fun yall emo_pos,3.1817879272426453
yeah suppose lol chat bit x emo_pos,2.2941278266564735
hello emo_pos get youth job opportunity follow gt gt,2.5558604370832754
emo_pos nt seen year,1.7898262769903264
thank emo_pos,1.2380590092427857
hope rest night go quickly bed got music fix time dream emo_pos,3.30761279656564
spiritual ritual festival beginning lineup emo_pos left lineup see,2.518318980602155
hey sarah send u email bitsy help asap emo_pos,2.672058779964681
lols,1.0
kik hatessuce32429 kik kikme lgbt tinder nsfw akua cumshot emo_pos,2.804868516714955
come house emo_pos,1.5038424570912552
nsn_supplements effective press release distribution result emo_pos link removed pressrelease newsdistribution,3.195689532754719
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x46,3.0657696267790966
everyone watch documentary earthling youtube emo_pos,2.272424658333103
follow amp follow u back emo_pos,1.762644965227542
followfriday top support community week emo_pos,2.311895503111062
buut oh well emo_pos,1.7797244831294874
looking forward visiting next week letsgetmessy jo emo_pos,2.6495639251887546
make u feel better never see anyone kpop flesh,2.7624675334537456
good girl best wish emo_pos,2.0682523065875085
great enough reason listen one epic soundtrack,2.583126763629189
thank shout great friday emo_pos,2.0419945540502984
added video playlist im back twitch today going league emo_pos,3.004359357249671
would love see dear jordan emo_pos waiting emo_pos,2.4931643166137474
oh okay thanks,1.69454319608613
like fake gameplays neutral haha im kidding im kidding good stuff emo_pos,2.766386738971295
yeah exactly emo_pos,1.5128732359544963
new product line etsy shop check emo_pos boxroomcrafts,2.6544291687919763
hope vacation going great,1.9558519970724242
rechargeable normally come charger u buy emo_pos,2.275946510896694
followfriday top engaged member community week emo_pos,2.502023168200067
well asleep one talk soo someone text emo_pos,2.682438154754705
yes suppose bet blue fit hearing speech today pity emo_pos,3.0024759399709295
green garden midnight sun beautiful canal dasvidaniya till next visit.emo_pos,3.1715198709246817
scouting sg future wlan pro conference asia emo_pos,2.6899025950445967
good u better change lollipop emo_pos,2.0201140404035023
lt u nez emo_pos agnezmo,1.7693067779577805
follow please emo_pos big dream emo_pos,2.1310500692481806
oley,1.0
mama reason stand stronger emo_pos,2.0609658444505827
follow amp follow u back emo_pos,1.762644965227542
oh god misty baby cute,2.20999947602812
love blue emo_pos flipkartfashionfriday,1.7847881037001836
woohoo ca nt wait emo_pos signed yet still thinking mka,3.009988345547798
liam access emo_pos,1.513517193172699
welcome emo_pos,1.1910254511559744
stats day arrived new follower unfollowers emo_pos via,2.7134367253129823
nt surprised amazing figure emo_pos,2.019585410719361
followfriday top influencers community week emo_pos,2.3021999176160106
happybirthdayemilybett emo_pos wishing best beautiful sweet talented,2.4829738512199233
plan day drain great emo_pos,1.999926304630778
got ta love timezones p,1.9209445997201298
parent proud lol least maybe sometimes get happy grade al,3.1076734741040877
grande emo_pos,1.1371220674284137
manila_bro chosen follow twitter thanks follow emo_pos,2.221755979798331
sure let know around side world eh u take care emo_pos,3.01507300449979
followfriday top new follower community week emo_pos,2.514656936109152
finally fucking weekend emo_pos,1.8130227875889107
real emo_pos,1.1569940984806217
thanks,1.0
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x45,3.0657696267790966
yes joined hushedcallwithfraydoe call amp gift lt got ta get,3.0800795592650996
yeahh emo_pos,1.1371220674284137
dm amp make night better emo_pos,2.312528198830978
joined hushedpinwithsammy event might get text day luv u,2.7656415248484443
would really appreciate share video around emo_pos,2.5072613320021837
hello emo_pos get youth job opportunity follow gt gt,2.5558604370832754
oh wow beautiful tom emo_pos,2.0660984815092625
love emo_pos,1.2447133319073662
added video playlist im back twitch today going league emo_pos,3.004359357249671
followfriday top support community week emo_pos,2.311895503111062
follow amp follow u back emo_pos,1.762644965227542
gym monday ca nt wait emo_pos like,2.4399174594699184
hey invite join scope influencer emo_pos,2.291457056027518
friend know emo_pos,1.5527949291430214
waiting nude emo_pos,1.4978142058126873
go sleep u emo_pos,1.5426611148581721
stats day arrived new follower unfollowers emo_pos via,2.7134367253129823
birthday week today,1.7292048165059895
want tshirts cool,1.6929846562526851
haw phela looking like mom obviously looking like emo_pos,2.478853928240672
prince charming stage emo_pos x,1.8064048900743326
really good luck emo_pos,1.8259013904172505
stats day arrived new follower unfollowers emo_pos via,2.7134367253129823
followfriday top engaged member community week emo_pos,2.502023168200067
tyler hipster glass,1.7306889216589494
hey marty glad see twitter emo_pos,2.265301381323651
hi joining today emo_pos,1.7710256177168446
done thanks emo_pos,1.5265006641814518
already afternoon let read al kahfi day finish emo_pos,2.8191274127314307
ohmyg yaya dub im done stalk ig accnt gondoo moo tologoo emo_pos haha,3.464923179561203
invite become scope influencer emo_pos detail,2.2995312490226887
followfriday top influencers community week emo_pos,2.3021999176160106
thanks emo_pos zz xx,1.7325611630003341
physiotherapy friday hashtag today custom emo_pos,2.2375597821108446
know monica miss yeah sound good emo_pos,2.4498783425084003
good morning beautiful emo_pos take,2.0799232018857694
hi bam follow bestfriend love lot emo_pos see warsaw lt love lt x43,3.0657696267790966
oh yeah definitely going try tonight emo_pos took advice treviso,3.0217595094209235
follow amp follow u back emo_pos,1.762644965227542
hi would like concert let know city country start working thanks emo_pos,3.3315220462618167
fine gorgeous friday friend xo emo_pos,2.2703374822093734
oven roasted garlic olive oil sun dried tomato dried basil century tuna emo_pos,3.2288969052882743
right back atchya great day everyone emo_pos,2.435790534122327
nt even follow back emo_pos,2.0741142100261047
future almost emo_pos,1.5218784712004405
followfriday top new follower community week emo_pos,2.514656936109152
chance emo_pos,1.1327061306770725
cheer emo_pos,1.1631546994730426
go po ice cream emo_pos,2.051565517298
agree emo_pos,1.1569940984806217
hehehehe thats point p,1.7272447153863109
next time stay home emo_pos,2.0772075224518134
thanks emo_pos,1.2651372398130718
followfriday top support community week emo_pos,2.311895503111062
soon promise emo_pos,1.5086517842957181
web whatsapp volta funcionar com iphone jailbroken emo_pos,2.6915326359789753
plan watching later min leia appears hologram r2d2 w message obi wan sits w luke emo_pos,3.622249377881994
inter ucl arsenal small team right emo_pos,2.4769588768061954
